scene_id,scene_type,true_seat,predicted_seat,correct,position_error_m
single_R10-C03,single,R10-C03,R10-C03,True,0.16000538344545515
single_R10-C04,single,R10-C04,R10-C04,True,0.16351634394220327
single_R10-C05,single,R10-C05,R10-C05,True,0.17089523283073446
single_R10-R01,single,R10-R01,R10-R01,True,0.19357305425465332
single_R10-R02,single,R10-R02,R10-R02,True,0.20787576251691225
single_R11-L01,single,R11-L01,R11-L01,True,0.2006054242198073
single_R11-L02,single,R11-L02,R11-L02,True,0.18825702648891096
single_R11-C01,single,R11-C01,R11-C01,True,0.1689671035861962
single_R11-C02,single,R11-C02,R11-C02,True,0.16281802933813413
single_R11-C03,single,R11-C03,R11-C03,True,0.16000447940605145
single_R11-C04,single,R11-C04,R11-C04,True,0.16297250680509306
single_R11-C05,single,R11-C05,R11-C05,True,0.16923346333426853
single_R11-R01,single,R11-R01,R11-R01,True,0.18869199020946834
single_R11-R02,single,R11-R02,R11-R02,True,0.20110289369376158
multi_01,multi,R01-C02,R01-C02,True,0.21089983824611525
multi_01,multi,R11-C03,R11-C03,True,0.16000447940605145
multi_01,multi,R04-R02,R04-R02,True,0.32650768141979297
multi_01,multi,R04-C03,R04-C03,True,0.16002347428128424
multi_02,multi,R11-C03,R11-C03,True,0.16000447940605145
multi_02,multi,R02-C03,R02-C03,True,0.1600566187939339
multi_02,multi,R10-C04,R10-C04,True,0.16351634394220327
multi_02,multi,R08-C05,R08-C05,True,0.17587875959999608
multi_02,multi,R02-C01,R02-C01,True,0.2577668094067855
multi_03,multi,R07-L01,R07-L01,True,0.2407994839496892
multi_03,multi,R01-C03,R01-C03,True,0.12857238899033782
multi_03,multi,R01-C02,R01-C02,True,0.21089983824611525
multi_03,multi,R02-C01,R02-C01,True,0.2577668094067855
multi_03,multi,R04-L01,R04-L01,True,0.324828396042997
multi_03,multi,R04-C01,R04-C01,True,0.20389717239460053
multi_03,multi,R08-L02,R08-L02,True,0.20710861009743353
multi_03,multi,R09-C04,R09-C04,True,0.1642231213287844
multi_03,multi,R08-R02,R08-R02,True,0.22736323577952483
multi_03,multi,R03-R01,R03-R01,True,0.3293281508145234
multi_03,multi,R11-L02,R11-L02,True,0.18825702648891096
multi_03,multi,R10-C01,R10-C01,True,0.17058225151939632
multi_04,multi,R06-R02,R06-R02,True,0.2610134358662089
multi_04,multi,R04-L02,R04-L02,True,0.2814816614897037
multi_04,multi,R07-C02,R07-C02,True,0.1661223020333656
multi_04,multi,R09-C02,R09-C02,True,0.16400403776066846
multi_04,multi,R04-R02,R04-R02,True,0.32650768141979297
multi_04,multi,R11-R01,R11-R01,True,0.18869199020946834
multi_04,multi,R03-C01,R03-C01,True,0.22320565277472437
multi_04,multi,R10-R02,R10-R02,True,0.20787576251691225
multi_04,multi,R07-L01,R07-L01,True,0.2407994839496892
multi_04,multi,R05-R01,R05-R01,True,0.25324506758679155
multi_05,multi,R03-L02,R03-L02,True,0.32725015945818425
multi_05,multi,R04-L01,R04-L01,True,0.324828396042997
multi_05,multi,R11-R01,R11-R01,True,0.18869199020946834
multi_05,multi,R05-R01,R05-R01,True,0.25324506758679155
multi_05,multi,R02-C03,R02-C03,True,0.1600566187939339
multi_05,multi,R02-C01,R02-C01,True,0.2577668094067855
multi_05,multi,R06-C02,R06-C02,True,0.1678657770154055
multi_06,multi,R06-L01,R06-L01,True,0.2599126646689084
multi_06,multi,R05-R02,R05-R02,True,0.2877928845388877
multi_06,multi,R09-C04,R09-C04,True,0.1642231213287844
multi_06,multi,R04-C05,R04-C05,True,0.205097955592424
multi_07,multi,R11-C02,R11-C02,True,0.16281802933813413
multi_07,multi,R07-C03,R07-C03,True,0.16000998924702253
multi_07,multi,R08-C04,R08-C04,True,0.16516452092248773
multi_08,multi,R06-C02,R06-C02,True,0.1678657770154055
multi_08,multi,R02-L02,R02-L02,True,0.17042906082182424
multi_08,multi,R08-R01,R08-R01,True,0.20780362030171792
multi_08,multi,R05-L02,R05-L02,True,0.2519920156798525
multi_09,multi,R06-L02,R06-L02,True,0.23189265418721605
multi_09,multi,R09-L02,R09-L02,True,0.19918586354549786
multi_09,multi,R03-C05,R03-C05,True,0.2248714805759793
multi_09,multi,R11-L01,R11-L01,True,0.2006054242198073
multi_09,multi,R01-C04,R01-C04,True,0.21470255465600704
multi_09,multi,R10-C02,R10-C02,True,0.1633337406475825
multi_09,multi,R04-C01,R04-C01,True,0.20389717239460053
multi_09,multi,R11-R02,R11-R02,True,0.20110289369376158
multi_09,multi,R05-L02,R05-L02,True,0.2519920156798525
multi_09,multi,R02-L02,R02-L02,True,0.17042906082182424
multi_09,multi,R02-C02,R02-C02,True,0.19478250937795896
multi_10,multi,R04-R02,R04-R02,True,0.32650768141979297
multi_10,multi,R07-C03,R07-C03,True,0.16000998924702253
multi_10,multi,R10-L01,R10-L01,True,0.20730453226436257
multi_10,multi,R06-L02,R06-L02,True,0.23189265418721605
multi_10,multi,R03-C01,R03-C01,True,0.22320565277472437
multi_10,multi,R06-C01,R06-C01,True,0.18443293651707757
multi_10,multi,R06-L01,R06-L01,True,0.2599126646689084
multi_10,multi,R03-R02,R03-R02,True,0.17148220157685487
multi_10,multi,R10-C03,R10-C03,True,0.16000538344545515
multi_11,multi,R10-R02,R10-R02,True,0.20787576251691225
multi_11,multi,R10-C05,R10-C05,True,0.17089523283073446
multi_11,multi,R10-L02,R10-L02,True,0.1930698190704355
multi_11,multi,R09-C04,R09-C04,True,0.1642231213287844
multi_11,multi,R10-L01,R10-L01,True,0.20730453226436257
multi_11,multi,R03-C02,R03-C02,True,0.18154013880974676
multi_12,multi,R11-C02,R11-C02,True,0.16281802933813413
multi_12,multi,R04-C03,R04-C03,True,0.16002347428128424
multi_12,multi,R03-C01,R03-C01,True,0.22320565277472437
multi_12,multi,R07-C04,R07-C04,True,0.16645603519293975
multi_12,multi,R06-C02,R06-C02,True,0.1678657770154055
multi_12,multi,R04-R01,R04-R01,True,0.28307008872015765
multi_12,multi,R10-L01,R10-L01,True,0.20730453226436257
multi_12,multi,R10-R01,R10-R01,True,0.19357305425465332
multi_12,multi,R08-R02,R08-R02,True,0.22736323577952483
multi_12,multi,R04-L02,R04-L02,True,0.2814816614897037
multi_12,multi,R10-C05,R10-C05,True,0.17089523283073446
multi_13,multi,R11-R02,R11-R02,True,0.20110289369376158
multi_13,multi,R04-C01,R04-C01,True,0.20389717239460053
multi_13,multi,R01-C03,R01-C03,True,0.12857238899033782
multi_13,multi,R05-C03,R05-C03,True,0.16001693399846745
multi_13,multi,R06-C05,R06-C05,True,0.1851308347541649
multi_13,multi,R04-R01,R04-R01,True,0.28307008872015765
multi_14,multi,R09-L01,R09-L01,True,0.21574955597287615
multi_14,multi,R11-L02,R11-L02,True,0.18825702648891096
multi_14,multi,R05-C03,R05-C03,True,0.16001693399846745
multi_14,multi,R04-L01,R04-L01,True,0.324828396042997
multi_14,multi,R10-C01,R10-C01,True,0.17058225151939632
multi_14,multi,R08-L01,R08-L01,True,0.22658883119253553
multi_15,multi,R10-L02,R10-L02,True,0.1930698190704355
multi_15,multi,R07-C03,R07-C03,True,0.16000998924702253
multi_15,multi,R03-L01,R03-L01,True,0.16510677042889849
multi_15,multi,R04-C05,R04-C05,True,0.205097955592424
multi_15,multi,R04-C03,R04-C03,True,0.16002347428128424
multi_15,multi,R11-C04,R11-C04,True,0.16297250680509306
multi_15,multi,R08-R02,R08-R02,True,0.22736323577952483
multi_15,multi,R08-C04,R08-C04,True,0.16516452092248773
multi_16,multi,R11-C04,R11-C04,True,0.16297250680509306
multi_16,multi,R09-C01,R09-C01,True,0.1726692585703762
multi_16,multi,R07-L01,R07-L01,True,0.2407994839496892
multi_16,multi,R06-C05,R06-C05,True,0.1851308347541649
multi_16,multi,R06-L02,R06-L02,True,0.23189265418721605
multi_16,multi,R04-L02,R04-L02,True,0.2814816614897037
multi_17,multi,R08-L01,R08-L01,True,0.22658883119253553
multi_17,multi,R02-C01,R02-C01,True,0.2577668094067855
multi_17,multi,R11-C05,R11-C05,True,0.16923346333426853
multi_17,multi,R01-C05,R01-C05,True,0.3374416696153526
multi_17,multi,R02-C04,R02-C04,True,0.19656730527852911
multi_17,multi,R03-L02,R03-L02,True,0.32725015945818425
multi_17,multi,R09-R02,R09-R02,True,0.21641131652092782
multi_17,multi,R03-C01,R03-C01,True,0.22320565277472437
multi_17,multi,R10-C05,R10-C05,True,0.17089523283073446
multi_17,multi,R07-L01,R07-L01,True,0.2407994839496892
multi_17,multi,R09-C03,R09-C03,True,0.1600065203874419
multi_18,multi,R06-C03,R06-C03,True,0.1600127897685153
multi_18,multi,R06-C02,R06-C02,True,0.1678657770154055
multi_18,multi,R09-C03,R09-C03,True,0.1600065203874419
multi_18,multi,R07-C04,R07-C04,True,0.16645603519293975
