sample_id,seat_id,row,section,seat_number,true_x,true_y,true_z,node_id,rssi_dbm,true_rssi,distance_m
R01-L01_N1_S051,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-59.75,-56.65,3.876
R01-L01_N1_S052,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-50.47,-56.65,3.876
R01-L01_N1_S053,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-55.28,-56.65,3.876
R01-L01_N1_S054,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-51.78,-56.65,3.876
R01-L01_N1_S055,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-57.61,-56.65,3.876
R01-L01_N1_S056,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-54.12,-56.65,3.876
R01-L01_N1_S057,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-55.8,-56.65,3.876
R01-L01_N1_S058,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-54.21,-56.65,3.876
R01-L01_N1_S059,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-58.12,-56.65,3.876
R01-L01_N1_S060,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-52.88,-56.65,3.876
R01-L01_N1_S061,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-61.28,-56.65,3.876
R01-L01_N1_S062,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-60.17,-56.65,3.876
R01-L01_N1_S063,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-51.96,-56.65,3.876
R01-L01_N1_S064,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-55.73,-56.65,3.876
R01-L01_N1_S065,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-53.52,-56.65,3.876
R01-L01_N1_S066,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-57.64,-56.65,3.876
R01-L01_N1_S067,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-56.68,-56.65,3.876
R01-L01_N1_S068,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-62.84,-56.65,3.876
R01-L01_N1_S069,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-58.62,-56.65,3.876
R01-L01_N1_S070,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-59.96,-56.65,3.876
R01-L01_N1_S071,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-49.36,-56.65,3.876
R01-L01_N1_S072,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-53.03,-56.65,3.876
R01-L01_N1_S073,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-57.67,-56.65,3.876
R01-L01_N1_S074,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-56.99,-56.65,3.876
R01-L01_N1_S075,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-56.47,-56.65,3.876
R01-L01_N1_S076,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-57.88,-56.65,3.876
R01-L01_N1_S077,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-56.07,-56.65,3.876
R01-L01_N1_S078,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-59.92,-56.65,3.876
R01-L01_N1_S079,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-57.11,-56.65,3.876
R01-L01_N1_S080,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-61.27,-56.65,3.876
R01-L01_N1_S081,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-56.16,-56.65,3.876
R01-L01_N1_S082,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-51.28,-56.65,3.876
R01-L01_N1_S083,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-58.37,-56.65,3.876
R01-L01_N1_S084,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-57.18,-56.65,3.876
R01-L01_N1_S085,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-55.98,-56.65,3.876
R01-L01_N1_S086,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-55.8,-56.65,3.876
R01-L01_N1_S087,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-58.97,-56.65,3.876
R01-L01_N1_S088,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-56.3,-56.65,3.876
R01-L01_N1_S089,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-55.63,-56.65,3.876
R01-L01_N1_S090,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-56.95,-56.65,3.876
R01-L01_N1_S091,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-57.62,-56.65,3.876
R01-L01_N1_S092,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-50.52,-56.65,3.876
R01-L01_N1_S093,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-50.58,-56.65,3.876
R01-L01_N1_S094,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-59.38,-56.65,3.876
R01-L01_N1_S095,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-59.14,-56.65,3.876
R01-L01_N1_S096,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-59.79,-56.65,3.876
R01-L01_N1_S097,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-57.29,-56.65,3.876
R01-L01_N1_S098,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-53.56,-56.65,3.876
R01-L01_N1_S099,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-52.94,-56.65,3.876
R01-L01_N1_S100,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-55.29,-56.65,3.876
R01-L01_N2_S001,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-74.18,-69.71,11.342
R01-L01_N2_S002,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-67.26,-69.71,11.342
R01-L01_N2_S003,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-67.06,-69.71,11.342
R01-L01_N2_S004,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-68.99,-69.71,11.342
R01-L01_N2_S005,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-68.11,-69.71,11.342
R01-L01_N2_S006,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-65.55,-69.71,11.342
R01-L01_N2_S007,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-72.42,-69.71,11.342
R01-L01_N2_S008,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-65.45,-69.71,11.342
R01-L01_N2_S009,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-67.19,-69.71,11.342
R01-L01_N2_S010,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-69.6,-69.71,11.342
R01-L01_N2_S011,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-75.6,-69.71,11.342
R01-L01_N2_S012,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-67.52,-69.71,11.342
R01-L01_N2_S013,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-67.83,-69.71,11.342
R01-L01_N2_S014,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-67.79,-69.71,11.342
R01-L01_N2_S015,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-75.21,-69.71,11.342
R01-L01_N2_S016,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-72.0,-69.71,11.342
R01-L01_N2_S017,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-67.05,-69.71,11.342
R01-L01_N2_S018,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-77.22,-69.71,11.342
R01-L01_N2_S019,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-70.97,-69.71,11.342
R01-L01_N2_S020,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-71.83,-69.71,11.342
R01-L01_N2_S021,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-68.81,-69.71,11.342
R01-L01_N2_S022,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-74.5,-69.71,11.342
R01-L01_N2_S023,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-74.57,-69.71,11.342
R01-L01_N2_S024,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-70.3,-69.71,11.342
R01-L01_N2_S025,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-70.38,-69.71,11.342
R01-L01_N2_S026,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-74.23,-69.71,11.342
R01-L01_N2_S027,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-70.95,-69.71,11.342
R01-L01_N2_S028,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-72.26,-69.71,11.342
R01-L01_N2_S029,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-70.04,-69.71,11.342
R01-L01_N2_S030,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-72.4,-69.71,11.342
R01-L01_N2_S031,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-71.52,-69.71,11.342
R01-L01_N2_S032,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-70.44,-69.71,11.342
R01-L01_N2_S033,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-74.56,-69.71,11.342
R01-L01_N2_S034,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-66.56,-69.71,11.342
R01-L01_N2_S035,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-71.02,-69.71,11.342
R01-L01_N2_S036,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-66.14,-69.71,11.342
R01-L01_N2_S037,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-67.19,-69.71,11.342
R01-L01_N2_S038,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-71.2,-69.71,11.342
R01-L01_N2_S039,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-73.03,-69.71,11.342
R01-L01_N2_S040,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-68.25,-69.71,11.342
R01-L01_N2_S041,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-70.51,-69.71,11.342
R01-L01_N2_S042,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-67.84,-69.71,11.342
R01-L01_N2_S043,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-72.13,-69.71,11.342
R01-L01_N2_S044,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-72.67,-69.71,11.342
R01-L01_N2_S045,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-69.93,-69.71,11.342
R01-L01_N2_S046,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-69.23,-69.71,11.342
R01-L01_N2_S047,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-68.92,-69.71,11.342
R01-L01_N2_S048,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-64.12,-69.71,11.342
R01-L01_N2_S049,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-73.79,-69.71,11.342
R01-L01_N2_S050,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-72.26,-69.71,11.342
R01-L01_N2_S051,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-67.16,-69.71,11.342
R01-L01_N2_S052,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-70.15,-69.71,11.342
R01-L01_N2_S053,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-69.44,-69.71,11.342
R01-L01_N2_S054,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-67.26,-69.71,11.342
R01-L01_N2_S055,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-66.82,-69.71,11.342
R01-L01_N2_S056,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-72.34,-69.71,11.342
R01-L01_N2_S057,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-67.69,-69.71,11.342
R01-L01_N2_S058,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-70.26,-69.71,11.342
R01-L01_N2_S059,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-74.01,-69.71,11.342
R01-L01_N2_S060,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-64.32,-69.71,11.342
R01-L01_N2_S061,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-70.78,-69.71,11.342
R01-L01_N2_S062,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-70.34,-69.71,11.342
R01-L01_N2_S063,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-65.62,-69.71,11.342
R01-L01_N2_S064,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-67.31,-69.71,11.342
R01-L01_N2_S065,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-73.86,-69.71,11.342
R01-L01_N2_S066,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-64.12,-69.71,11.342
R01-L01_N2_S067,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-66.9,-69.71,11.342
R01-L01_N2_S068,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-70.04,-69.71,11.342
R01-L01_N2_S069,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-69.77,-69.71,11.342
R01-L01_N2_S070,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-74.64,-69.71,11.342
R01-L01_N2_S071,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-68.92,-69.71,11.342
R01-L01_N2_S072,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-69.37,-69.71,11.342
R01-L01_N2_S073,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-63.21,-69.71,11.342
R01-L01_N2_S074,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-70.4,-69.71,11.342
R01-L01_N2_S075,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-73.57,-69.71,11.342
R01-L01_N2_S076,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-69.73,-69.71,11.342
R01-L01_N2_S077,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-69.82,-69.71,11.342
R01-L01_N2_S078,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-67.86,-69.71,11.342
R01-L01_N2_S079,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-73.35,-69.71,11.342
R01-L01_N2_S080,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-66.62,-69.71,11.342
R01-L01_N2_S081,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-72.66,-69.71,11.342
R01-L01_N2_S082,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-74.45,-69.71,11.342
R01-L01_N2_S083,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-64.55,-69.71,11.342
R01-L01_N2_S084,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-66.86,-69.71,11.342
R01-L01_N2_S085,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-68.39,-69.71,11.342
R01-L01_N2_S086,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-62.72,-69.71,11.342
R01-L01_N2_S087,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-79.39,-69.71,11.342
R01-L01_N2_S088,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-74.18,-69.71,11.342
R01-L01_N2_S089,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-72.84,-69.71,11.342
R01-L01_N2_S090,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-72.97,-69.71,11.342
R01-L01_N2_S091,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-71.62,-69.71,11.342
R01-L01_N2_S092,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-73.56,-69.71,11.342
R01-L01_N2_S093,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-67.88,-69.71,11.342
R01-L01_N2_S094,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-70.93,-69.71,11.342
R01-L01_N2_S095,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-70.71,-69.71,11.342
R01-L01_N2_S096,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-66.43,-69.71,11.342
R01-L01_N2_S097,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-67.02,-69.71,11.342
R01-L01_N2_S098,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-73.82,-69.71,11.342
R01-L01_N2_S099,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-67.38,-69.71,11.342
R01-L01_N2_S100,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_02_FrontRight,-63.67,-69.71,11.342
R01-L01_N3_S001,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_03_BackLeft,-74.02,-72.63,14.415
R01-L01_N3_S002,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_03_BackLeft,-74.77,-72.63,14.415
R01-L01_N3_S003,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_03_BackLeft,-76.12,-72.63,14.415
R01-L01_N3_S004,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_03_BackLeft,-77.62,-72.63,14.415
R01-L01_N3_S005,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_03_BackLeft,-69.13,-72.63,14.415
R01-L01_N3_S006,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_03_BackLeft,-74.75,-72.63,14.415
R01-L01_N3_S007,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_03_BackLeft,-69.81,-72.63,14.415
R01-L01_N3_S008,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_03_BackLeft,-68.43,-72.63,14.415
